Dataset,Iteration,ST-MMMF_MAE,ST-MMMF_RMSE,SVD_MAE,SVD_RMSE,NMF_MAE,NMF_RMSE,SVD++_MAE,SVD++_RMSE,Co-Clustering_MAE,Co-Clustering_RMSE
100K,49,0.7996,1.109953681,0.796816667,1.106125695,1.632033333,2.007913096,0.7951,1.104141331,1.471533333,1.853561824
100K,50,0.7996,1.109953681,0.79735,1.106653085,1.596966667,1.973348398,0.795233333,1.10430628,1.471533333,1.853561824
1M,1,0.724671152,1.02160662,0.643129943,0.916859739,1.750842323,2.132822344,0.633045394,0.908380212,1.41845879,1.805958779
1M,2,0.746548225,1.045637836,0.651293228,0.925548456,1.765285957,2.146209125,0.63925409,0.915005249,1.302386499,1.673868105
1M,3,0.76050696,1.061005773,0.65533238,0.929887811,1.747246412,2.128863893,0.642445087,0.919103212,1.17799762,1.530294764
1M,4,0.769938313,1.071288342,0.657751872,0.932730827,1.762321579,2.142803429,0.64449299,0.921273536,1.418557103,1.805852251
1M,5,0.776881855,1.078706291,0.660651263,0.935787756,1.772242829,2.152345903,0.646014337,0.923104289,1.418630421,1.805927001
1M,6,0.782237397,1.084414118,0.662650843,0.93809966,1.760990192,2.141753402,0.646730853,0.924370733,1.178690808,1.530948274
1M,7,0.785953283,1.088487489,0.664583771,0.940392928,1.739984603,2.122423898,0.648117229,0.926636174,1.178225906,1.530830831
1M,8,0.788061174,1.090809836,0.665888497,0.941938201,1.758212442,2.139581134,0.64966857,0.928101891,1.418448792,1.805789954
1M,9,0.78977748,1.092676251,0.667084912,0.943502935,1.77093477,2.151122208,0.649620246,0.928786205,1.18423631,1.535854661
1M,10,0.790737279,1.093764538,0.668169684,0.944896025,1.768893532,2.148250884,0.651311558,0.930360973,1.418527109,1.805850428
1M,11,0.791368813,1.094650139,0.66887287,0.945784262,1.750130806,2.132043889,0.651493186,0.930822206,1.418535441,1.805836124
1M,12,0.791672082,1.095067232,0.669382763,0.946476452,1.761558406,2.142458158,0.651438198,0.9315782,1.418533775,1.805818129
1M,13,0.79187204,1.095336585,0.670160933,0.947436377,1.756821068,2.13775232,0.652018076,0.932060578,1.418505447,1.805789057
1M,14,0.792045337,1.095558743,0.670599174,0.948495434,1.767698783,2.147228053,0.653021199,0.933295904,1.418500448,1.805788604
1M,15,0.79217531,1.095739775,0.67101742,0.948942594,1.746884821,2.128476967,0.653661065,0.934101734,1.418417132,1.805739667
1M,16,0.79223863,1.095831066,0.671620626,0.94985874,1.767190557,2.146827058,0.654422571,0.935067669,1.418528776,1.805800986
1M,17,0.792336943,1.096012853,0.672298817,0.950754013,1.749890856,2.131582693,0.653471104,0.935021651,1.418610425,1.805855916
1M,18,0.792353606,1.096043262,0.672762053,0.951509055,1.760073718,2.140197918,0.654285933,0.935833314,1.418612091,1.805851756
1M,19,0.792368603,1.096068354,0.673151971,0.951925734,1.763343031,2.144357599,0.654822487,0.936455224,1.190814929,1.543340316
1M,20,0.792370269,1.096067591,0.672943682,0.952121048,1.755303053,2.1364707,0.655638982,0.937270298,1.418588763,1.805863758
1M,21,0.792371935,1.096072915,0.673448576,0.95269223,1.750607372,2.131338616,0.655750626,0.93800625,1.418610425,1.805851303
1M,22,0.792375268,1.096071394,0.67398513,0.953494783,1.761156824,2.141884906,0.65668043,0.938989825,1.248471154,1.618390716
1M,23,0.792376934,1.096075194,0.673945138,0.953720178,1.757327628,2.137856989,0.656497136,0.939277422,1.418533775,1.805801438
1M,24,0.792375268,1.096072912,0.67420675,0.954189202,1.763084752,2.142754688,0.65739528,0.940112905,1.418422131,1.80574105
1M,25,0.792376934,1.096075194,0.674601667,0.954729474,1.750034159,2.130899805,0.657396947,0.940242874,1.278156587,1.64968756
1M,26,0.7923786,1.096072912,0.674918267,0.95518661,1.74470028,2.126725877,0.657170328,0.940332738,1.418502115,1.805793678
1M,27,0.792375268,1.096072912,0.675066569,0.955565799,1.746514899,2.128647538,0.658691675,0.941661409,1.418610425,1.80584023
1M,28,0.792436922,1.096175565,0.675476483,0.956080334,1.758415733,2.138702142,0.658390071,0.941756235,1.418512112,1.805789983
1M,29,0.792436922,1.096178607,0.675479816,0.956380095,1.758599028,2.140285287,0.659399859,0.94274138,1.418517111,1.805795978
1M,30,0.792436922,1.096175565,0.67568144,0.956872172,1.755301387,2.136061422,0.659566491,0.943440418,1.41842713,1.805746119
